"order_id","product_id","add_to_cart_order","reordered"
2581,40174,1,0
2581,17461,2,0
2581,19731,3,1
5880,24838,1,1
5880,24852,2,1
5880,16797,3,1
5880,5456,4,0
5880,25199,5,0
6030,280,1,0
7374,25146,1,0
7374,38739,2,0
7374,28931,3,0
7374,4210,4,0
7374,14159,5,0
7374,44359,6,0
7374,41198,7,0
7374,33129,8,1
7374,4306,9,0
9312,8277,1,0
9312,3999,2,1
9312,32605,3,0
9312,28985,4,0
9312,24852,5,1
9312,38051,6,0
9312,16759,7,0
9312,8153,8,0
9312,32299,9,0
9312,12220,10,1
9312,20039,11,1
9312,16668,12,0
9312,21372,13,0
9976,21616,1,1
9976,24954,2,1
9976,4957,3,1
9976,18926,4,1
9976,34605,5,0
9976,44142,6,0
9976,21938,7,0
9976,5652,8,0
9976,49683,9,1
9976,47766,10,1
9976,25931,11,0
9976,13176,12,1
10549,48775,1,1
10549,30233,2,1
10549,16839,3,1
10549,35788,4,1
10549,48679,5,1
10549,46667,6,1
10549,37067,7,1
10549,33381,8,1
10549,21938,9,1
10549,34969,10,1
10549,30391,11,1
10865,31371,1,1
10865,7412,2,1
10865,28767,3,1
10865,34450,4,1
10865,8021,5,1
10865,23631,6,1
10865,6160,7,1
10865,30776,8,1
10865,13143,9,1
10865,44010,10,1
10865,26499,11,0
10865,12312,12,0
10865,16616,13,0
10865,26419,14,0
10865,31506,15,1
10865,31066,16,0
10865,44643,17,0
13010,37508,1,1
13010,22124,2,1
13010,18523,3,1
13010,4957,4,1
13010,30169,5,1
13010,33754,6,1
13010,46676,7,1
13010,22035,8,1
13010,14917,9,1
13010,18926,10,1
13010,33682,11,1
13010,33370,12,1
13010,24954,13,1
13010,40571,14,1
13010,1559,15,1
13010,33787,16,1
13010,47196,17,1
13010,28054,18,1
15647,2732,1,1
15647,23926,2,1
15647,19660,3,1
15647,5328,4,1
15647,31869,5,1
15647,42479,6,1
15647,41177,7,1
15647,21137,8,1
16930,27845,1,1
16930,13176,2,1
16930,30450,3,1
16930,30391,4,1
16930,11096,5,0
16930,25821,6,0
16930,3631,7,1
16930,37646,8,0
16930,39928,9,1
16930,44449,10,0
16930,23237,11,0
16930,46505,12,0
16930,27156,13,1
16930,45084,14,1
16930,45368,15,1
16930,6187,16,0
17892,10246,1,1
17892,35939,2,1
17892,22286,3,1
17892,47766,4,1
17892,47626,5,0
17892,2562,6,0
17892,26165,7,1
17892,28576,8,0
17892,27966,9,0
17892,25879,10,0
17892,32177,11,1
17892,30776,12,1
17892,24120,13,1
17892,37067,14,0
17892,34614,15,0
17892,27639,16,0
21076,3896,1,1
21076,35914,2,1
21076,13176,3,1
21076,22963,4,1
21076,47209,5,1
21076,24841,6,1
21076,19057,7,1
21076,21903,8,1
21076,781,9,1
21076,18465,10,1
21076,7559,11,1
21076,36724,12,1
21076,9839,13,1
21076,27695,14,1
21076,24964,15,1
21076,35750,16,1
21076,6532,17,0
21076,26981,18,1
21076,39094,19,1
21076,6297,20,1
21076,39337,21,1
21076,39108,22,1
21076,15649,23,1
21076,42701,24,0
21076,42110,25,0
21076,3464,26,1
21076,23265,27,0
21076,4656,28,0
21076,13740,29,1
21251,25890,1,0
21251,7987,2,0
21955,35503,1,1
21955,35951,2,1
22342,13249,1,1
22342,28985,2,1
22342,33120,3,1
22342,32230,4,1
22342,27966,5,1
22342,45066,6,1
22342,26981,7,1
22342,7485,8,1
22342,16521,9,1
22342,49683,10,1
22342,14992,11,1
22342,24253,12,0
22342,21681,13,0
22342,22849,14,0
22342,20754,15,0
22679,2154,1,1
22679,3305,2,1
22679,3835,3,1
24531,20042,1,1
24531,38908,2,1
24531,10603,3,1
24531,8424,4,1
24531,17794,5,1
25026,13176,1,1
25026,27241,2,1
25026,9337,3,1
25026,38689,4,1
25026,48881,5,1
25026,10831,6,1
25026,47042,7,1
25026,36082,8,1
25026,26384,9,1
25026,22963,10,1
25026,46667,11,1
25026,31717,12,1
25026,27104,13,1
25026,8903,14,1
25026,10305,15,1
25710,24852,1,1
25710,27966,2,1
25710,24024,3,1
25710,42585,4,1
25710,24830,5,1
25710,25598,6,1
25710,36082,7,1
25710,37646,8,1
25710,5991,9,1
25710,21137,10,1
25710,41950,11,1
25710,4920,12,1
25710,22825,13,1
25710,39928,14,1
25710,22935,15,1
25710,34264,16,1
25710,41065,17,1
25710,27104,18,0
25710,5025,19,0
25710,8277,20,1
25710,28204,21,0
25710,49035,22,0
26901,16797,1,1
26901,6007,2,0
26901,24852,3,1
26901,41485,4,1
26901,264,5,1
26901,27196,6,1
26901,15780,7,1
26901,12232,8,1
26901,35042,9,1
26901,39400,10,1
26901,12519,11,1
26901,10061,12,1
26901,39275,13,0
26901,24615,14,0
26901,46041,15,0
27266,49235,1,1
27266,13176,2,1
27266,47766,3,1
27266,16521,4,1
27266,21137,5,0
27266,43749,6,1
27266,11782,7,1
27266,15912,8,0
27266,24759,9,0
27266,23543,10,1
30366,25659,1,1
30366,27363,2,0
30366,9092,3,1
30366,39040,4,1
30366,34243,5,1
30366,26209,6,1
30366,31717,7,1
30366,38067,8,0
30366,5684,9,0
30366,1516,10,1
30366,24852,11,0
30366,2130,12,0
30366,46802,13,1
30366,23457,14,0
30833,46820,1,1
30833,10243,2,0
30833,18656,3,0
30833,6489,4,0
30833,21174,5,0
31085,14623,1,0
31085,15848,2,0
31085,27344,3,0
31085,26040,4,0
31085,1073,5,0
31085,1006,6,0
31085,9558,7,0
31085,4086,8,0
31085,43352,9,1
31201,29307,1,0
31201,38293,2,0
31359,44987,1,1
31359,2597,2,0
31359,26324,3,1
31705,42436,1,1
31705,47209,2,1
31705,44717,3,1
31705,39225,4,1
31705,47011,5,1
31705,27521,6,1
31705,21903,7,1
31705,8654,8,1
31705,25533,9,1
31705,30830,10,1
31705,1542,11,1
31705,33120,12,1
31705,22228,13,1
31705,47766,14,1
31705,6008,15,1
31705,47652,16,1
31705,17630,17,1
31705,7769,18,1
31705,28204,19,1
31705,32578,20,1
31705,41658,21,1
31705,13176,22,1
32920,27038,1,1
32920,31651,2,1
32920,3298,3,1
32920,30720,4,1
32920,18023,5,0
32920,21873,6,0
32920,46931,7,1
35003,19660,1,1
35003,43465,2,1
35003,47621,3,1
35003,32523,4,0
35003,24838,5,1
35003,3274,6,1
35003,35756,7,1
35003,26209,8,1
35003,9366,9,0
35003,43789,10,0
38207,5077,1,0
38207,21903,2,0
38207,36011,3,0
38207,16953,4,0
38207,29594,5,0
38207,30233,6,0
38207,24852,7,0
38207,6187,8,0
38207,47766,9,0
38226,3480,1,0
38226,36472,2,1
38226,20955,3,1
38226,18441,4,1
38226,4269,5,1
38226,26115,6,1
38226,30777,7,1
38226,5210,8,1
38226,2359,9,0
38226,18292,10,0
38226,13575,11,1
38825,25986,1,1
38825,24339,2,0
38825,17129,3,1
38825,35199,4,1
38825,17867,5,1
38825,26428,6,0
42583,17368,1,0
42583,12206,2,0
42583,37317,3,0
43271,39475,1,1
43271,14129,2,1
43271,2078,3,1
43271,24035,4,1
43271,34137,5,1
43425,27999,1,0
43425,22224,2,0
43425,26131,3,0
43425,37067,4,1
43425,24964,5,0
43425,48679,6,0
43477,31564,1,0
43477,37625,2,1
43477,3645,3,1
44257,47209,1,1
44257,24852,2,1
44257,39877,3,1
44257,16797,4,0
44257,49610,5,0
44257,2433,6,1
44257,8412,7,0
44257,40706,8,1
44257,21616,9,0
44257,14332,10,0
44257,23543,11,0
44257,39928,12,1
47906,16797,1,1
47906,48171,2,1
47906,49683,3,1
47906,25890,4,1
48391,49325,1,0
48391,10212,2,0
48391,41618,3,1
48391,35182,4,0
48391,48094,5,0
48402,30391,1,0
48402,5115,2,0
48402,41625,3,0
48402,43768,4,0
48402,23102,5,0
48402,5876,6,0
48402,46667,7,0
48402,12807,8,0
48402,8529,9,0
48402,40921,10,0
48402,1328,11,0
48402,11159,12,0
48402,39303,13,0
48402,45733,14,0
48493,27845,1,1
48493,13176,2,0
48493,38622,3,0
48493,1818,4,0
48493,20740,5,0
48493,49235,6,1
48493,13198,7,1
48493,39430,8,0
48493,44514,9,0
48493,45007,10,0
48493,48720,11,0
48493,19048,12,0
48553,26209,1,1
48553,4605,2,0
48553,16759,3,0
48553,10246,4,0
48553,47626,5,0
48553,44310,6,0
48553,40706,7,0
48553,49683,8,1
