"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
2352815,185282,"prior",5,2,"09",6
1414622,41949,"prior",9,0,"16",6
2534064,24631,"prior",66,1,"13",4
338572,95289,"prior",4,2,"14",18
2578618,170417,"prior",5,1,"13",14
1756647,127210,"prior",31,3,"18",9
2636806,26473,"prior",24,2,"17",17
681993,89155,"prior",17,1,"15",4
826339,67750,"prior",7,3,"14",17
57285,89307,"prior",48,1,"22",5
1006006,72383,"prior",11,4,"10",13
1832797,167803,"prior",7,3,"11",1
501739,108500,"prior",4,0,"11",30
252957,40888,"prior",14,3,"08",1
2012513,3371,"prior",15,6,"15",14
808404,9192,"prior",41,2,"17",5
2312190,180035,"prior",30,5,"13",7
222215,178080,"prior",37,2,"20",4
1806655,167097,"prior",6,0,"15",0
2916896,150182,"prior",4,3,"14",6
1962438,150874,"prior",11,5,"11",6
2877016,71915,"prior",6,1,"16",17
1411634,90355,"prior",34,0,"11",3
2664740,151488,"prior",14,2,"09",21
329644,63401,"prior",2,4,"16",2
2676178,82271,"prior",37,5,"17",4
751824,120472,"prior",31,4,"15",3
61912,176519,"prior",19,1,"18",5
87273,39817,"prior",31,0,"17",6
762932,181518,"prior",14,2,"11",4
3133274,77078,"prior",6,2,"19",9
1114186,27284,"prior",7,3,"08",30
473111,113547,"prior",2,3,"18",19
3053049,108156,"prior",29,4,"10",6
295167,108958,"prior",23,2,"13",8
1469206,74913,"prior",2,1,"08",20
2047079,64331,"test",44,2,"08",6
2911209,112545,"prior",12,5,"10",7
514346,64234,"prior",24,2,"20",11
536196,40629,"prior",25,6,"12",14
1052283,60791,"prior",15,3,"15",7
943411,73245,"prior",21,1,"17",3
564216,135767,"test",4,6,"14",30
2313058,126360,"test",4,5,"13",3
93089,149893,"prior",4,4,"18",6
940561,171267,"prior",2,4,"11",30
3162976,22967,"prior",11,6,"08",1
1429799,60505,"prior",17,6,"13",9
494525,138731,"prior",12,6,"12",7
277601,130213,"prior",13,1,"14",9
2384219,129972,"prior",14,4,"20",17
2682528,115608,"prior",9,1,"16",3
70418,1882,"prior",11,3,"15",30
1321319,140001,"prior",11,5,"11",3
323079,35517,"train",17,1,"08",5
1895773,55234,"prior",19,4,"11",7
2815180,36112,"prior",7,2,"07",7
